"BIOGUIDE_ID","COMMITTEE_ID","OFFICE NAME (ORIGINAL)","OFFICE NAME (STANDARD)","OFFICE PHONE","OFFICE LOCATION","OFFICE ROOM NUMBER"
"M001166",,,"Rep. Jerry McNerney","202-225-1947","Cannon",312
"M001148",,,"Rep. Kendrick Meek Sr.","202-225-4506","Longworth",1039
"M001137",,,"Rep. Gregory Meeks","202-225-3461","Rayburn",2342
"M001161",,,"Rep. Charlie Melancon Sr.","202-225-4031","Cannon",404
"M000689",,,"Rep. John Mica","202-225-4035","Rayburn",2313
"M001149",,,"Rep. Mike Michaud","202-225-6306","Longworth",1724
"M000714",,,"Rep. Juanita Millender-McDonald",,,
"M000725",,,"Rep. George Miller","202-225-2095","Rayburn",2205
"M001144",,,"Rep. Jeff Miller","202-225-4136","Rayburn",2439
"M001150",,,"Rep. Candice Miller","202-225-2106","Cannon",228
"M001139",,,"Rep. Gary Miller","202-225-3201","Rayburn",2349
"M001175",,,"Rep. Walt Minnick","202-225-6611","Longworth",1517
"M001167",,,"Rep. Harry Mitchell","202-225-2190","Longworth",1410
"M000844",,,"Rep. Alan Mollohan","202-225-4172","Rayburn",2302
"M001140",,,"Rep. Dennis Moore","202-225-2865","Longworth",1727
"M001160",,,"Rep. Gwen Moore","202-225-4572","Longworth",1239
"M000933",,,"Rep. Jim Moran Jr.","202-225-4376","Rayburn",2239
"M000934",,,"Rep. Jerry Moran","202-225-2715","Rayburn",2202
"M001169",,,"Rep. Chris Murphy","202-225-4476","Cannon",412
"M001178",,,"Rep. Scott Murphy","202-225-5614","Cannon",120
"M001168",,,"Rep. Patrick Murphy","202-225-4276","Longworth",1609
"M001151",,,"Rep. Tim Murphy","202-225-2301","Cannon",322
"M001152",,,"Rep. Marilyn Musgrave",,,
"M001134",,,"Rep. Sue Myrick","202-225-1976","Cannon",230
"N000002",,,"Rep. Jerrold Nadler","202-225-5635","Rayburn",2334
"N000179",,,"Rep. Grace Napolitano","202-225-5256","Longworth",1610
"N000147",,,"Del. Eleanor Norton","202-225-8050","Rayburn",2136
"O000006",,,"Rep. Jim Oberstar","202-225-6211","Rayburn",2365
"O000007",,,"Rep. Dave Obey","202-225-3365","Rayburn",2314
"O000168",,,"Rep. Pete Olson","202-225-5951","Cannon",514
"O000085",,,"Rep. John Olver","202-225-5335","Longworth",1111
"O000107",,,"Rep. Solomon Ortiz Sr.","202-225-7742","Rayburn",2110
"P000034",,,"Rep. Frank Pallone Jr.","202-225-4671","Cannon",237
"P000096",,,"Rep. Bill Pascrell Jr.","202-225-5751","Rayburn",2464
"P000099",,,"Rep. Ed Pastor","202-225-4065","Rayburn",2465
"P000149",,,"Rep. Donald Payne","202-225-3436","Rayburn",2310
"P000600",,,"Rep. Tom Perriello","202-225-4711","Longworth",1520
"P000595",,,"Rep. Gary Peters","202-225-5802","Longworth",1130
"P000258",,,"Rep. Collin Peterson","202-225-2165","Rayburn",2211
"P000265",,,"Rep. Tom Petri","202-225-2476","Rayburn",2462
"P000323",,,"Rep. Chip Pickering Jr.",,,
"P000596",,,"Com. Pedro Pierluisi","202-225-2615","Longworth",1218
"P000597",,,"Rep. Chellie Pingree","202-225-6116","Longworth",1037
"P000373",,,"Rep. Joe Pitts","202-225-2411","Cannon",420
"P000585",,,"Rep. Todd Platts","202-225-5836","Rayburn",2455
"P000592",,,"Rep. Ted Poe","202-225-6565","Cannon",430
"P000422",,,"Rep. Earl Pomeroy","202-225-2611","Longworth",1501
"P000599",,,"Rep. Bill Posey","202-225-3671","Cannon",132
"R000004",,,"Rep. George Radanovich","202-225-4540","Rayburn",2410
"R000011",,,"Rep. Nick Rahall II","202-225-3452","Rayburn",2307
"R000053",,,"Rep. Charlie Rangel","202-225-4365","Rayburn",2354
"R000571",,,"Rep. Denny Rehberg","202-225-3211","Rayburn",2448
"R000578",,,"Rep. Dave Reichert","202-225-7761","Longworth",1730
"R000170",,,"Rep. Silver Reyes","202-225-4831","Rayburn",2433
"R000581",,,"Rep. Laura Richardson","202-225-7924","Longworth",1725
"R000568",,,"Rep. Ciro Rodriguez","202-225-4511","Rayburn",2351
"R000582",,,"Rep. Phil Roe","202-225-6356","Cannon",419
"R000575",,,"Rep. Mike Rogers","202-225-3261","Cannon",324
"R000395",,,"Rep. Hal Rogers","202-225-4601","Rayburn",2406
"R000409",,,"Rep. Dana Rohrabacher","202-225-2415","Rayburn",2300
"R000435",,,"Rep. Ileana Ros-Lehtinen","202-225-3931","Rayburn",2470
"R000462",,,"Rep. Steve Rothman","202-225-5061","Rayburn",2303
"R000486",,,"Rep. Lucille Roybal-Allard","202-225-1766","Rayburn",2330
"R000576",,,"Rep. C.A. Dutch Ruppersberger","202-225-3061","Rayburn",2453
"S001167",,,"Rep. Bill Sali",,,
"S000030",,,"Rep. Loretta Sanchez","202-225-2965","Longworth",1114
"S001168",,,"Rep. John Sarbanes","202-225-4016","Cannon",426
"S001176",,,"Rep. Steve Scalise","202-225-3015","Cannon",429
"S001145",,,"Rep. Jan Schakowsky","202-225-2111","Rayburn",2367
"S001178",,,"Rep. Mark Schauer","202-225-6276","Longworth",1408
"S001150",,,"Rep. Adam Schiff","202-225-4176","Rayburn",2447
"S001179",,,"Rep. Aaron Schock","202-225-6201","Cannon",509
"S001180",,,"Rep. Kurt Schrader","202-225-5711","Longworth",1419
"S001162",,,"Rep. Allyson Schwartz","202-225-6111","Cannon",330
"S000185",,,"Rep. Bobby Scott","202-225-8351","Longworth",1201
"S001157",,,"Rep. David Scott","202-225-2939","Cannon",225
"S000244",,,"Rep. Jim Sensenbrenner Jr.","202-225-5101","Rayburn",2449
"S000248",,,"Rep. Jose Serrano","202-225-4361","Rayburn",2227
"S000250",,,"Rep. Pete Sessions","202-225-2231","Rayburn",2233
"S001169",,,"Rep. Joe Sestak Jr.","202-225-2011","Longworth",1022
"S000275",,,"Rep. John Shadegg","202-225-3361","Cannon",436
"S001170",,,"Rep. Carol Shea-Porter","202-225-5456","Longworth",1330
"S000344",,,"Rep. Brad Sherman","202-225-5911","Rayburn",2242
"S000364",,,"Rep. John Shimkus","202-225-5271","Rayburn",2452
"S001171",,,"Rep. Heath Shuler","202-225-6401","Cannon",422
"S001154",,,"Rep. Bill Shuster","202-225-2431","Cannon",204
"S001148",,,"Rep. Mike Simpson","202-225-5531","Rayburn",2312
"S001165",,,"Rep. Albio Sires","202-225-7919","Longworth",1024
"S000465",,,"Rep. Ike Skelton","202-225-2876","Rayburn",2206
"S000480",,,"Rep. Louise Slaughter","202-225-3615","Rayburn",2469
"S000583",,,"Rep. Lamar Smith","202-225-4236","Rayburn",2409
"S000522",,,"Rep. Chris Smith","202-225-3765","Rayburn",2373
"S000510",,,"Rep. Adam Smith","202-225-8901","Rayburn",2402
"S001172",,,"Rep. Adrian Smith","202-225-6435","Cannon",503
"S000672",,,"Rep. Vic Snyder","202-225-2506","Rayburn",2210
"S001153",,,"Rep. Hilda Solis",,,
"S001143",,,"Rep. Mark Souder","202-225-4436","Rayburn",2231
"S001175",,,"Rep. Jackie Speier","202-225-3531","Cannon",211
"S000749",,,"Rep. John Spratt Jr.","202-225-5501","Longworth",1401
"S000810",,,"Rep. Pete Stark","202-225-5065","Cannon",239
"S000822",,,"Rep. Cliff Stearns","202-225-5744","Rayburn",2370
"S001045",,,"Rep. Bart Stupak","202-225-4735","Rayburn",2268
"S001155",,,"Rep. John Sullivan","202-225-2211","Cannon",434
"S001174",,,"Rep. Betty Sutton","202-225-3401","Longworth",1721
"T000038",,,"Rep. John Tanner","202-225-4714","Longworth",1226
"T000057",,,"Rep. Ellen Tauscher",,,
"T000074",,,"Rep. Gene Taylor","202-225-5772","Rayburn",2269
"T000466",,,"Rep. Harry Teague","202-225-2365","Longworth",1007
"T000467",,,"Rep. G.T. Thompson Jr.","202-225-5121","Cannon",124
"T000460",,,"Rep. Mike Thompson","202-225-3311","Cannon",231
"T000238",,,"Rep. Mac Thornberry","202-225-3706","Rayburn",2209
"T000266",,,"Rep. John Tierney","202-225-8020","Rayburn",2238
"T000468",,,"Rep. Dina Titus","202-225-3252","Cannon",319
"T000326",,,"Rep. Ed Towns","202-225-5936","Rayburn",2232
"T000463",,,"Rep. Mike Turner","202-225-6465","Longworth",1740
"U000039",,,"Sen. Tom Udall","202-224-6621","Hart",110
"U000031",,,"Rep. Fred Upton","202-225-3761","Rayburn",2183
"V000128",,,"Rep. Chris Van Hollen Jr.","202-225-5341","Longworth",1707
"V000081",,,"Rep. Nydia Velazquez","202-225-2361","Rayburn",2466
"V000108",,,"Rep. Pete Visclosky","202-225-2461","Rayburn",2256
"W000791",,,"Rep. Greg Walden","202-225-6730","Rayburn",2352
"W000799",,,"Rep. Tim Walz","202-225-2472","Longworth",1722
"W000119",,,"Rep. Zach Wamp","202-225-3271","Longworth",1436
"W000797",,,"Rep. Debbie Wasserman Schultz","202-225-7931","Cannon",118
"W000187",,,"Rep. Maxine Waters","202-225-2201","Rayburn",2344
"W000794",,,"Rep. Diane Watson","202-225-7084","Rayburn",2430
"W000207",,,"Rep. Mel Watt","202-225-1510","Rayburn",2304
"W000215",,,"Rep. Henry Waxman","202-225-3976","Rayburn",2204
"W000792",,,"Rep. Anthony Weiner","202-225-6616","Rayburn",2104
"W000800",,,"Rep. Peter Welch","202-225-4115","Longworth",1404
"W000267",,,"Rep. David Weldon",,,
"W000796",,,"Rep. Lynn Westmoreland","202-225-5901","Longworth",1213
"W000314",,,"Rep. Robert Wexler","202-225-3001","Rayburn",2241
"W000413",,,"Rep. Ed Whitfield","202-225-3115","Rayburn",2411
"W000795",,,"Rep. Joe Wilson Sr.","202-225-2452","Cannon",212
"W000801",,,"Rep. Charlie Wilson Jr.","202-225-5705","Cannon",226
"W000804",,,"Rep. Rob Wittman","202-225-4261","Longworth",1318
"W000738",,,"Rep. Lynn Woolsey","202-225-5161","Rayburn",2263
"W000793",,,"Rep. David Wu","202-225-0855","Rayburn",2338
"Y000033",,,"Rep. Don Young","202-225-5765","Rayburn",2111
"Y000031",,,"Rep. C. W. Bill Young","202-225-5961","Rayburn",2407
