PURPOSE Field,PURPOSE FIELD DIRECTOR ,NumberOfDups
SCHEDULER AND OFFICE MANAGER (OTHER COMPENSATION),SCHEDULER/OFFICE MANAGER   ,1
SCHEDULER AND PRESS RELATIONS,SCHEDULER/PRESS RELATIONS  ,1
SEN PROF STAFF (OTHER COMPENSATION),SENIOR PROFESSIONAL STAFF MEMBER  ,1
SENIOR ADVISOR & INVESTIGATOR,SENIOR ADVISOR AND INVESTIGATOR  ,1
SENIOR ADVISOR AND LEGAL COUNSEL,SENIOR ADVISOR/LEGAL COUNSEL  ,1
SENIOR CASE MANAGER (OTHER COMPENSATION),SENIOR CASE MANAGER   ,1
SENIOR CASEWORKER (OTHER COMPENSATION),SENIOR CASEWORKER   ,1
"SENIOR COUNSEL, AVIATION","SENIOR COUNSEL, AVIATION  ",1
SENIOR ENVIRONMENT COUNSEL,SENIOR ENVIRONMENT COUNSEL  ,1
SENIOR HEALTH POLICY ADVISOR,SENIOR HEALTH POLICY ADVISOR  ,1
SENIOR LEGISLATIVE AIDE,SENIOR LEGISLATIVE AIDE  ,1
SENIOR OFFICE MANAGER,SENIOR OFFICE MANAGER  ,1
SENIOR POLICY ADVISOR (OTHER COMPENSATION),SENIOR POLICY ADVISOR   ,1
SENIOR POLICY AIDE,SENIOR POLICY AIDE  ,1
SENIOR SOCIAL WORKER,SENIOR SOCIAL WORKER  ,1
SENIOR SYSTEMS ENGINEER (OTHER COMPENSATION),SENIOR SYSTEMS ENGINEER   ,1
SHARED STAFF,SHARED STAFF  ,1
SPECIAL ASSISTANT & POLICY ADV,SPECIAL ASSISTANT AND POLICY ADVISOR  ,1
SPECIAL ASSISTANT (OTHER COMPENSATION),SPECIAL ASSISTANT   ,1
SPECIAL ASSISTANT-RESEARCH,SPECIAL ASSISTANT-RESEARCH  ,1
SPECIAL COUNSEL (OTHER COMPENSATION),SPECIAL COUNSEL   ,1
SPECIAL PROJECTS COORDINATOR (OTHER COMPENSATION),SPECIAL PROJECTS COORDINATOR   ,1
SPECIAL PROJECTS REP,SPECIAL PROJECTS REPRESENTATIVE  ,1
SPEECHWRITER & COMMUNICATIONS (OTHER COMPENSATION),SPEECHWRITER AND COMMUNICATIONS   ,1
SPEECHWRITER (OTHER COMPENSATION),SPEECHWRITER   ,1
SPEECHWRITER AND COMMUN ADVISOR,SPEECHWRITER/COMMUNICATIONS ADVISOR  ,1
SR ADVSR & DIR OF ONLINE COMM,SENIOR ADVSENIOR AND DIRECTOR OF ONLINE COMMUNICATION  ,1
SR BROADCAST ENG. AND PROD SPEC.,SENIOR BROADCAST ENGINEER/PRODUCT SPECIALIST  ,1
SR BROADCAST ENG. AND PROD SPEC. (OVERTIME),SENIOR BROADCAST ENGINEER/PRODUCT SPECIALIST   ,1
SR CUSTOMER SOLUTIONS CONSULTA,SENIOR CUSTOMER SOLUTIONS CONSULTANT  ,1
SR DIST LEGISLATIVE COUNSE,SENIOR DISTRICT LEGISLATIVE COUNSE  ,1
SR EDUCATION POLICY ADVISOR (OTHER COMPENSATION),SENIOR EDUCATION POLICY ADVISOR   ,1
SR EXECUTIVE ASSISTANT AND SCHEDUL,SENIOR EXECUTIVE ASSISTANT/SCHEDUL  ,1
SR INVESTIGATIVE COUNSEL,SENIOR INVESTIGATIVE COUNSEL  ,1
SR LEG ASST AND COUNSEL,SENIOR LEGISLATIVE ASSISTANT/COUNSEL  ,1
SR LEG COUNSEL AND LEG DIRECTOR,SENIOR LEGISLATIVE COUNSEL/ LEGISLATIVE DIRECTOR  ,1
SR LEGIS ASST (OTHER COMPENSATION),SENIOR LEGISLATIVE ASSISTANT   ,1
SR LEGISLATIVE ASST (OTHER COMPENSATION),SENIOR LEGISLATIVE ASSISTANT   ,1
SR POLICY ADVISOR (OTHER COMPENSATION),SENIOR POLICY ADVISOR   ,1
SR PROF STAFF-COAST GUARD SUB,SENIOR PROFESSIONAL STAFF-COAST GUARD SUBCOMMITTEE  ,1
SR PROF. STAFF AND COUNSEL,SENIOR PROFESSIONAL STAFF/COUNSEL  ,1
SR PROF. STAFF AND COUNSEL (OTHER COMPENSATION),SENIOR PROFESSIONAL STAFF/COUNSEL   ,1
SR SYSTEMS ANALYST (OVERTIME),SENIOR SYSTEMS ANALYST   ,1
STAFF ASSIST AND CONSTITUENT SERV,STAFF ASSISTANT/CONSTITUENT SERVICES  ,1
STAFF ASSIST AND HR SPECIALIST (OVERTIME),STAFF ASSISTANT/HR SPECIALIST   ,1
STAFF ASSIST AND JR LEGIS CORRES,STAFF ASSISTANT/JUNIOR LEGISLATIVE CORRES  ,1
STAFF ASSISTANT AND DC SCHEDULER,STAFF ASSISTANT/DC SCHEDULER  ,1
STAFF ASSISTANT AND FC,STAFF ASSISTANT/FC  ,1
STAFF ASSISTANT-EDUCATION,STAFF ASSISTANT-EDUCATION  ,1
STAFF ASSISTANT-EDUCATION (OVERTIME),STAFF ASSISTANT-EDUCATION   ,1
"STAFF ASST, IMM OFC (OVERTIME)","STAFF ASSISTANT, IMMOFFICE   ",1
STAFF ASST AND COMMUNITY LIAISON (OTHER COMPENSATION),STAFF ASSISTANT/COMMUNITY LIAISON   ,1
STAFF ASST AND CORRESPONDENT,STAFF ASSISTANT/LEGISLATIVE CORRESPONDENT  ,1
STAFF ASST-RECEPTIONIST,STAFF ASSISTANT-RECEPTIONIST  ,1
STAFF ATTORNEY (C),STAFF ATTORNEY   ,1
STATE ASSISTANT,STATE ASSISTANT  ,1
SUBC STAFF DIR & COUNSEL,SUBCOMMITTEE STAFF DIRECTOR AND COUNSEL  ,1
SUBCOMMITTEE STAFF ASSISTANT (OVERTIME),SUBCOMMITTEE STAFF ASSISTANT   ,1
SUBCOMMITTEE STAFF DIRECTOR (OTHER COMPENSATION),SUBCOMMITTEE STAFF DIRECTOR   ,1
"SUPERVISOR,CAO FIRST CALL PLUS","SUPERVISOR,CAO FIRST CALL PLUS  ",1
"SUPERVISOR,CONSTITUENT SVCS (OTHER COMPENSATION)","SUPERVISOR,CONSTITUENT SERVICES   ",1
SYSTEMS ANALYST (OTHER COMPENSATION),SYSTEMS ANALYST   ,1
SYSTEMS ANALYST (OVERTIME),SYSTEMS ANALYST   ,1
SYSTEMS AND LEGISLATIVE CORRESPOND,SYSTEMS ADMINISTRATOR/LEGISLATIVE CORRESPONDENT  ,1
TEACHER AIDE (A) (OTHER COMPENSATION),TEACHER AIDE    ,1
TECHNOLOGY FELLOW,TECHNOLOGY FELLOW  ,1
TRANSCRIBER (OTHER COMPENSATION),TRANSCRIBER   ,1
TRANSPORTATION L.A.,TRANSPORTATION LEGISLATIVE ASSISTANT  ,1
TRANSPORTATION LEGIS ASSISTANT,TRANSPORTATION LEGISLATIVE ASSISTANT  ,1
USER INTERFACE DEVELOPER (OVERTIME),USER INTERFACE DEVELOPER   ,1
WEBMASTER (OTHER COMPENSATION),WEBMASTER   ,1
WOUNDED WARRIOR PROGRAM FELLOW (OTHER COMPENSATION),WOUNDED WARRIOR PROGRAM FELLOW   ,1
1ST ASST SUPERINTENDENT,1ST ASSISTANT SUPERINTENDENT  ,2
2ND ASST SUPERINTENDENT,2ND ASSISTANT SUPERINTENDENT  ,2
3RD ASST SUPERINTENDENT,3RD ASSISTANT SUPERINTENDENT  ,2
4TH ASST SUPERINTENDENT,4TH ASSISTANT SUPERINTENDENT  ,2
5TH ASST SUPERINTENDENT,5TH ASSISTANT SUPERINTENDENT  ,2
AA AND APPROPRIATIONS COORDINATOR,AA/APPROPRIATIONS COORDINATOR  ,2
ACCOUNT MGMT COUNSELOR (A),ACCOUNT MANAGEMENT COUNSELOR   ,2
ACCOUNTING CLERK (A),ACCOUNTING CLERK   ,2
ACCOUNTING REP,ACCOUNTING REPRESENTATIVE  ,2
ACCOUNTING TECHNICIAN (A),ACCOUNTING TECHNICIAN   ,2
ACQUISITION COUNSELOR (A),ACQUISITION COUNSELOR   ,2
ADA AIDE,ADA AIDE  ,2
ADDITIONAL SECRETARY,ADDITIONAL SECRETARY  ,2
ADMIN & HUMAN RESOURCES COORDI,ADMINISTRATIVE AND HUMAN RESOURCES COORDINATOR  ,2
ADMIN-FINANCE & PAYROLL,ADMINORITY-FINANCE AND PAYROLL  ,2
"ADMINISTRATIVE ASSISTANT, F.C.","ADMINISTRATIVE ASSISTANT, FULL COMMITTEE  ",2
ADMINISTRATIVE ASST,ADMINISTRATIVE ASSISTANT  ,2
ADMINISTRATIVE COUNSEL,ADMINISTRATIVE COUNSEL  ,2
ADMINISTRATIVE SECRETARY,ADMINISTRATIVE SECRETARY  ,2
ADMINISTRATIVE STAFF DIRECTOR,ADMINISTRATIVE STAFF DIRECTOR  ,2
ADVANCE ASSISTANT,ADVANCE ASSISTANT  ,2
ADVISOR FOR LIVABLE COMM,ADVISOR FOR LIVABLE COMMUNICATION  ,2
ADVISOR TO THE CONGRESSMAN,ADVISOR TO THE CONGRESSMAN  ,2
ADVISOR TO THE SPEAKER,ADVISOR TO THE SPEAKER  ,2
ADVISOR AND COUNSELOR,ADVISOR/COUNSELOR  ,2
AGRI & NATURAL POLICY DIR,AGRICULTURE AND NATURAL POLICY DIRECTOR  ,2
AGRICULTURAL AID AND FIELD REP,AGRICULTURAL AIDE/FIELD DIRECTOR REPRESENTATIVE  ,2
AGRICULTURAL AID AND FIELD REP (OVERTIME),AGRICULTURAL AIDE/FIELD DIRECTOR REPRESENTATIVE   ,2
AGRICULTURE COUNSEL,AGRICULTURE COUNSEL  ,2
AGRICULTURE DIRECTOR,AGRICULTURE DIRECTOR  ,2
AGRICULTURE REPRESENTATIVE,AGRICULTURE REPRESENTATIVE  ,2
AGRICULTURE AND AGRI-BUSINESS SPEC,AGRICULTURE/AGRI-BUSINESS SPECIALIST  ,2
AIDE AND TUTOR,AIDE/TUTOR  ,2
APPOINTMENT DESK ASSISTANT (OVERTIME),APPOINTMENT DESK ASSISTANT   ,2
APPOINTMENT SCHEDULER,APPOINTMENT SCHEDULER  ,2
APPOINTMENTS DESK ASSISTANT (OVERTIME),APPOINTMENT DESK ASSISTANT   ,2
APPROPRIATIONS ASSOCIATE,APPROPRIATIONS ASSOCIATE  ,2
APPROPRIATIONS COUNSEL,APPROPRIATIONS COUNSEL  ,2
AREA DIRECTOR,AREA DIRECTOR  ,2
"ASSIST DIRECT, HOUSE SECURITY","ASSISTANT DIRECT, HOUSE SECURITY  ",2
ASSIST TO CONG MOLLOHAN(P),ASSISTANT TO CONGRESSMAN MOLLOHAN ,2
ASSIST TO THE CHIEF OF STAFF,ASSISTANT TO THE CHIEF OF STAFF  ,2
"ASSISTANT ,IDENTIFICATION SERV","ASSISTANT ,IDENTIFICATION SERVICES  ",2
ASSISTANT ARCHIVIST,ASSISTANT ARCHIVIST  ,2
ASSISTANT BILL CLERK (OVERTIME),ASSISTANT BILL CLERK   ,2
ASSISTANT COMMUNICATIONS DIREC,ASSISTANT COMMUNICATIONS DIRECTOR  ,2
"ASSISTANT DIRECTOR, MAS","ASSISTANT DIRECTOR, MAS  ",2
ASSISTANT DIST DIR AND GRANTS COOR,ASSISTANT DISTRICT DIRECTOR/GRANTS COORDINATOR  ,2
ASSISTANT ENROLLING CLERK (OVERTIME),ASSISTANT ENROLLING CLERK   ,2
ASSISTANT FLOOR DIRECTOR,ASSISTANT FLOOR DIRECTOR  ,2
ASSISTANT INVESTIGATOR,ASSISTANT INVESTIGATOR  ,2
ASSISTANT JOURNAL CLERK (OVERTIME),ASSISTANT JOURNAL CLERK   ,2
ASSISTANT OFFICE ADMINISTRATOR,ASSISTANT OFFICE ADMINISTRATOR  ,2
ASSISTANT PRINTING EDITOR,ASSISTANT PRINTING EDITOR  ,2
ASSISTANT TO CONG B YOUNG (P),ASSISTANT TO CONGRESSMAN B YOUNG   ,2
ASSISTANT TO CONG DELAURO,ASSISTANT TO CONGRESSMAN DELAURO  ,2
ASSISTANT TO CONG DICKS (P),ASSISTANT TO CONGRESSMAN DICKS   ,2
ASSISTANT TO CONG EDWARDS (P),ASSISTANT TO CONGRESSMAN EDWARDS   ,2
ASSISTANT TO CONG ISRAEL,ASSISTANT TO CONGRESSMAN ISRAEL  ,2
ASSISTANT TO CONG JACKSON,ASSISTANT TO CONGRESSMAN JACKSON  ,2
ASSISTANT TO CONG LATHAM (P),ASSISTANT TO CONGRESSMAN LATHAM   ,2
ASSISTANT TO CONG LEWIS (P),ASSISTANT TO CONGRESSMAN LEWIS   ,2
ASSISTANT TO CONG LOWEY (P),ASSISTANT TO CONGRESSMAN LOWEY   ,2
ASSISTANT TO CONG MURTHA (P),ASSISTANT TO CONGRESSMAN MURTHA   ,2
ASSISTANT TO CONG OBEY (P),ASSISTANT TO CONGRESSMAN OBEY   ,2
ASSISTANT TO CONG OLVER (P),ASSISTANT TO CONGRESSMAN OLVER   ,2
ASSISTANT TO CONG PASTOR (P),ASSISTANT TO CONGRESSMAN PASTOR   ,2
ASSISTANT TO CONG ROGERS (P),ASSISTANT TO CONGRESSMAN ROGERS   ,2
ASSISTANT TO CONG SERRANO (P),ASSISTANT TO CONGRESSMAN SERRANO   ,2
ASSISTANT TO CONG TIAHRT (P),ASSISTANT TO CONGRESSMAN TIAHRT   ,2
ASSISTANT TO CONG VISCLOSKY (P,ASSISTANT TO CONGRESSMAN VISCLOSKY ,2
ASSISTANT TO CONG WAMP (P),ASSISTANT TO CONGRESSMAN WAMP   ,2
ASSISTANT TO CONG. BONNER,ASSISTANT TO CONGRESSMAN BONNER  ,2
ASSISTANT TO CONG. COLE,ASSISTANT TO CONGRESSMAN COLE  ,2
ASSISTANT TO CONG. DAVIS,ASSISTANT TO CONGRESSMAN DAVIS  ,2
ASSISTANT TO CONG. HOLT,ASSISTANT TO CONGRESSMAN HOLT  ,2
ASSISTANT TO CONG. MURTHA,ASSISTANT TO CONGRESSMAN MURTHA  ,2
ASSISTANT TO CONG. OLVER,ASSISTANT TO CONGRESSMAN OLVER  ,2
ASSISTANT TO CONG. SALAZAR,ASSISTANT TO CONGRESSMAN SALAZAR  ,2
ASSISTANT TO CONG. SIMPSON,ASSISTANT TO CONGRESSMAN SIMPSON  ,2
ASSISTANT TO DIR OF OPERATIONS,ASSISTANT TO DIRECTOR OF OPERATIONS  ,2
ASSISTANT TO THE CHAIRMAN,ASSISTANT TO THE CHAIRMAN  ,2
ASSISTANT TO THE CHIEF OF STAF,ASSISTANT TO THE CHIEF OF STAFF  ,2
ASSISTNT TO CONG. LATHAM,ASSISTANT TO CONGRESSMAN LATHAM  ,2
ASSOCIATE,ASSOCIATE  ,2
ASSOCIATE APPROPRIATIONS STAFF,ASSOCIATE APPROPRIATIONS STAFF  ,2
ASSOCIATE DIR OF NEW MEDIA,ASSOCIATE DIRECTOR OF NEW MEDIA  ,2
ASSOCIATE DISTRICT DIRECTOR,ASSOCIATE DISTRICT DIRECTOR  ,2
ASSOCIATE LABOR COUNSEL,ASSOCIATE LABOR COUNSEL  ,2
ASSOCIATE STAFF - PINGREE,ASSOCIATE STAFF - PINGREE  ,2
ASSOCIATE STAFF DIAZ-BALART,ASSOCIATE STAFF DIAZ-BALART  ,2
ASSOCIATE STAFF AND HASTINGS,ASSOCIATE STAFF/HASTINGS  ,2
ASSOCIATE STAFF-CARDOZA,ASSOCIATE STAFF-CARDOZA  ,2
ASSOCIATE STAFF-DREIER,ASSOCIATE STAFF-DREIER  ,2
ASSOCIATE STAFF-FOXX,ASSOCIATE STAFF-FOXX  ,2
ASSOCIATE STAFF-PERLMUTTER,ASSOCIATE STAFF-PERLMUTTER  ,2
ASSOCIATE STAFF-POLIS,ASSOCIATE STAFF-POLIS  ,2
ASSOCIATE STAFF-SESSIONS,ASSOCIATE STAFF-SESSIONS  ,2
ASST CAO CUST SOLUTIONS DELIV.,ASSISTANT CAO CUSTOMER SOLUTIONS DELIV.  ,2
"ASST CAO, ASSETS, FURN & LOG","ASSISTANT CAO, ASSETS, FURN AND LOG  ",2
ASST CHIEF CLERK DEBATES,ASSISTANT CHIEF CLERK DEBATES  ,2
ASST CHIEF CLERK DEBATES (OVERTIME),ASSISTANT CHIEF CLERK DEBATES   ,2
ASST COUNSEL,ASSISTANT COUNSEL  ,2
ASST DIR OF CHAMBER SECURITY,ASSISTANT DIRECTOR OF CHAMBER SECURITY  ,2
ASST DIR OF RESIDENCE HALL,ASSISTANT DIRECTOR OF RESIDENCE HALL  ,2
"ASST DIR, OPERATIONS","ASSISTANT DIRECTOR, OPERATIONS  ",2
ASST DISTRICT REPRESENTATIVE,ASSISTANT DISTRICT REPRESENTATIVE  ,2
ASST FOOD MGR (MAJ) (OVERTIME),ASSISTANT FOOD MANAGER   ,2
ASST FOOD MGR (MIN) (OVERTIME),ASSISTANT FOOD MANAGER MINORITY   ,2
ASST FOR ADMIN OPERATIONS,ASSISTANT FOR ADMINISTRATIVE OPERATIONS  ,2
ASST JOURNAL CLERK (OVERTIME),ASSISTANT JOURNAL CLERK   ,2
ASST LEGISLATIVE CLERK (OVERTIME),ASSISTANT LEGISLATIVE CLERK   ,2
ASST REGIS & COMP CLERK,ASSISTANT REGISTRAR AND COMP CLERK  ,2
ASST TO CONG CLYBURN (P),ASSISTANT TO CONGRESSMAN CLYBURN   ,2
ASST TO CONG DELAURO (P),ASSISTANT TO CONGRESSMAN DELAURO   ,2
ASST TO CONG FRELINGHUYSEN (P),ASSISTANT TO CONGRESSMAN FRELINGHUYSEN   ,2
ASST TO CONG KENNEDY,ASSISTANT TO CONGRESSMAN KENNEDY  ,2
ASST TO CONG KILPATRICK,ASSISTANT TO CONGRESSMAN KILPATRICK  ,2
ASST TO CONG ROYBAL-ALLARD,ASSISTANT TO CONGRESSMAN ROYBAL-ALLARD  ,2
ASST TO CONG. ALEXANDER,ASSISTANT TO CONGRESSMAN ALEXANDER  ,2
ASST TO CONG. BISHOP,ASSISTANT TO CONGRESSMAN BISHOP  ,2
ASST TO CONG. CARTER,ASSISTANT TO CONGRESSMAN CARTER  ,2
ASST TO CONG. EDWARDS,ASSISTANT TO CONGRESSMAN EDWARDS  ,2
ASST TO CONG. FRELINGHUYSEN,ASSISTANT TO CONGRESSMAN FRELINGHUYSEN  ,2
ASST TO CONG. HINCHEY,ASSISTANT TO CONGRESSMAN HINCHEY  ,2
ASST TO CONG. HOEKSTRA,ASSISTANT TO CONGRESSMAN HOEKSTRA  ,2
ASST TO CONG. HONDA,ASSISTANT TO CONGRESSMAN HONDA  ,2
ASST TO CONG. KAPTUR,ASSISTANT TO CONGRESSMAN KAPTUR  ,2
ASST TO CONG. LEE,ASSISTANT TO CONGRESSMAN LEE  ,2
ASST TO CONG. LEWIS,ASSISTANT TO CONGRESSMAN LEWIS  ,2
ASST TO CONG. LOWEY,ASSISTANT TO CONGRESSMAN LOWEY  ,2
ASST TO CONG. MCCOLLUM,ASSISTANT TO CONGRESSMAN MCCOLLUM  ,2
ASST TO CONG. OBEY,ASSISTANT TO CONGRESSMAN OBEY  ,2
ASST TO CONG. RODRIGUEZ,ASSISTANT TO CONGRESSMAN RODRIGUEZ  ,2
ASST TO CONG. ROGERS,ASSISTANT TO CONGRESSMAN ROGERS  ,2
ASST TO CONG. ROTHMAN,ASSISTANT TO CONGRESSMAN ROTHMAN  ,2
ASST TO CONG. RYAN,ASSISTANT TO CONGRESSMAN RYAN  ,2
ASST TO CONG. SERRANO,ASSISTANT TO CONGRESSMAN SERRANO  ,2
ASST TO CONG. YOUNG,ASSISTANT TO CONGRESSMAN YOUNG  ,2
ASST TO DEPUTY STAFF DIRECTOR,ASSISTANT TO DEPUTY STAFF DIRECTOR  ,2
ASST. TO CONG. BERRY,ASSISTANT TO CONGRESSMAN BERRY  ,2
ASST. TO CONG. CHANDLER,ASSISTANT TO CONGRESSMAN CHANDLER  ,2
ASST. TO CONG. CRENSHAW,ASSISTANT TO CONGRESSMAN CRENSHAW  ,2
ASST. TO CONG. CULBERSON,ASSISTANT TO CONGRESSMAN CULBERSON  ,2
ASST. TO CONG. DICKS,ASSISTANT TO CONGRESSMAN DICKS  ,2
ASST. TO CONG. FARR,ASSISTANT TO CONGRESSMAN FARR  ,2
ASST. TO CONG. FATTAH,ASSISTANT TO CONGRESSMAN FATTAH  ,2
ASST. TO CONG. KIRK,ASSISTANT TO CONGRESSMAN KIRK  ,2
ASST. TO CONG. LATOURETTE,ASSISTANT TO CONGRESSMAN LATOURETTE  ,2
ASST. TO CONG. MOLLOHAN,ASSISTANT TO CONGRESSMAN MOLLOHAN  ,2
ASST. TO CONG. REHBERG,ASSISTANT TO CONGRESSMAN REHBERG  ,2
ASST. TO CONG. RUPPERSBERGER,ASSISTANT TO CONGRESSMAN RUPPERSBERGER  ,2
ASST. TO CONG. SCHIFF,ASSISTANT TO CONGRESSMAN SCHIFF  ,2
ASST. TO CONG. SIMPSON,ASSISTANT TO CONGRESSMAN SIMPSON  ,2
ASST. TO CONG. TIAHRT,ASSISTANT TO CONGRESSMAN TIAHRT  ,2
BANKING COUNSEL,BANKING COUNSEL  ,2
BEEVILLE DISTRICT OFC DIRECTOR,BEEVILLE DISTRICTOFFICE DIRECTOR  ,2
BILL CLERK (OVERTIME),BILL CLERK   ,2
BILLING ADMINISTRATOR,BILLING ADMINISTRATOR  ,2
BROOKLYN DISTRICT DIRECTOR,BROOKLYN DISTRICT DIRECTOR  ,2
BROOKLYN OFFICE DIRECTOR,BROOKLYN OFFICE DIRECTOR  ,2
BUDGET ANALYST (OTHER COMPENSATION),BUDGET ANALYST   ,2
BUDGET DIRECTOR,BUDGET DIRECTOR  ,2
BUDGET REVIEW DIRECTOR,BUDGET REVIEW DIRECTOR  ,2
BUDGET AND ECONOMIC ANALYST,BUDGET/ECONOMIC ANALYST  ,2
BUS. AND MILITARY AFFAIRS LIAI,BUSINESS AND MILITARY AFFAIRS LIAI  ,2
BUSINESS PROCESS SPECIALIST,BUSINESS PROCESS SPECIALIST  ,2
CABS DIRECTOR,CABS DIRECTOR  ,2
CALENDAR CLERK AND WEB MANAGER,CALENDAR CLERK/WEB MANAGER  ,2
CASE MANAGER AND FIELD REP,CASE MANAGER/FIELD DIRECTOR REPRESENTATIVE  ,2
CASE WORK MANAGER,CASE WORK MANAGER  ,2
CASEWORK SPEC AND FIELD REP,CASEWORK SPECIALIST/FIELD DIRECTOR REPRESENTATIVE  ,2
CASEWORK SUPERVISOR AND OFC MGR,CASEWORK SUPERVISOR/OFFICE MANAGER  ,2
CASEWORK AND SPEC PROJ & REC COORD,CASEWORK/SPECIALIST PROJECT AND REC COORDINATOR  ,2
CASEWORKER AND DISTRCIT COMM,CASEWORKER AND DISTRCIT COMMUNICATION  ,2
CASEWORKER COORD AND FIELD REP.,CASEWORKER COORDINATOR/FIELD DIRECTOR REPRESENTATIVE  ,2
CASEWORKER DIR AND CONST. SVCS REP,CASEWORKER DIRECTOR/CONSTITUENT SERVICES REPRESENTATIVE  ,2
CASEWORKER DIR AND COUNSEL,CASEWORKER DIRECTOR/COUNSEL  ,2
CASEWORKER MANAGER,CASEWORKER MANAGER  ,2
CASEWORKER AND BLACK MEN & BOYS CD,CASEWORKER/BLACK MEN AND BOYS CD  ,2
CASEWORKER AND BUSIN FIELD LIAISON,CASEWORKER/BUSIN FIELD DIRECTOR LIAISON  ,2
CASEWORKER AND COMMUNITY DEVEL REP,CASEWORKER/COMMUNITY DEVEL REPRESENTATIVE  ,2
CASEWORKER AND COMMUNITY REP.,CASEWORKER/COMMUNITY REPRESENTATIVE  ,2
CASEWORKER AND CONGRESSIONAL AIDE,CASEWORKER/CONGRESSIONAL AIDE  ,2
CASEWORKER AND CONSTITUENT SVCE,CASEWORKER/CONSTITUENT SERVICES  ,2
CASEWORKER AND EVENTS COORDINATOR,CASEWORKER/EVENTS COORDINATOR  ,2
CASEWORKER AND FIELD COORDINATOR,CASEWORKER/FIELD DIRECTOR COORDINATOR  ,2
CASEWORKER AND GRANTS DIRECTOR,CASEWORKER/GRANTS DIRECTOR  ,2
CASEWORKER AND GRANTS SPECIALIST,CASEWORKER/GRANTS SPECIALIST  ,2
CASEWORKER AND INTERGOV’T AFF SPEC,CASEWORKER/INTERGOVERNMENT AFFAIRS SPECIALIST  ,2
CASEWORKER AND OUTREACH COORDINATO,CASEWORKER/OUTREACH COORDINATO  ,2
CASEWORKER AND SPECIAL ASSISTANT,CASEWORKER/SPECIAL ASSISTANT  ,2
CASEWORKER AND SPECIAL PROJECTS,CASEWORKER/SPECIAL PROJECTS  ,2
CASEWORKER AND STAFF ASSISTANT,CASEWORKER/STAFF ASSISTANT  ,2
CASEWRKER AND COMMTY OUTREACH COOR,CASEWRKER/COMMTY OUTREACH COORDINATOR  ,2
"CFO AND ASST CAO, ADMIN & FIN SVCS","CFO/ASSISTANT CAO, ADMINISTRATIVE AND FINANCIAL SERVICES  ",2
CHAMBER SUPPORT SVCS STAFF (OVERTIME),CHAMBER SUPPORT SERVICES STAFF   ,2
CHAPLAIN,CHAPLAIN  ,2
CHAUTAUQUA COUNTY DIRECTOR,CHAUTAUQUA COUNTY DIRECTOR  ,2
CHESAPEAKE DISTRICT REP,CHESAPEAKE DISTRICT REPRESENTATIVE  ,2
CHESTERFIELD DISTRICT REP,CHESTERFIELD DIRECTOR DISTRICT REPRESENTATIVE  ,2
CHF CLK & ASST TO GEN COUNSEL,CHIEF CLERK AND ASSISTANT TO GENERAL COUNSEL  ,2
"CHF COUN,COMRC,TRADE CONS PROT","CHIEF COUNSEL, COMMERCE,TRADE CONSTITUENT PROT  ",2
CHIEF CASEWORKER AND OFFICE MGR,CHIEF CASEWORKER/OFFICE MANAGER  ,2
CHIEF CLERK (COMMITTEES),CHIEF CLERK (COMMITTEES)  ,2
CHIEF CLERK (DEBATE) (OVERTIME),CHIEF CLERK (DEBATE)   ,2
CHIEF CLERK AND OFFICE MANAGER,CHIEF CLERK/OFFICE MANAGER  ,2
CHIEF COMMUNITY LIAISON,CHIEF COMMUNITY LIAISON  ,2
CHIEF COUNS AND COMM TECHN & INFRA,CHIEF COUNS/COMMUNICATION TECHNOLOGY AND INFRA STRUCTURE ,2
"CHIEF COUNSEL, OVERSIGHT & INV","CHIEF COUNSEL, OVERSIGHT AND INVESTIGATIONS  ",2
CHIEF COUNSEL AND LEG ASST,CHIEF COUNSEL/LEGISLATIVE ASSISTANT  ,2
CHIEF COUNSEL AND LEGIS DIRECTOR,CHIEF COUNSEL/LEGISLATIVE DIRECTOR  ,2
CHIEF COUNSEL AND STAFF DIRECTOR,CHIEF COUNSEL/STAFF DIRECTOR  ,2
CHIEF DEMOCRATIC TAX COUNSEL,CHIEF DEMOCRATIC TAX COUNSEL  ,2
CHIEF DEPUTY WHIP,CHIEF DEPUTY WHIP  ,2
CHIEF DISTRICT ADVISOR,CHIEF DISTRICT ADVISOR  ,2
CHIEF ENGINEER,CHIEF ENGINEER  ,2
CHIEF FLOOR SERVICE (MAJ),CHIEF FLOOR SERVICE (MAJORITY)  ,2
CHIEF HEALTH COUNSEL,CHIEF HEALTH COUNSEL  ,2
CHIEF INVESTIGATOR,CHIEF INVESTIGATOR  ,2
CHIEF LAB OPERATIONS,CHIEF LAB OPERATIONS  ,2
CHIEF OF CONSTITUENT SERVICES,CHIEF OF CONSTITUENT SERVICES  ,2
CHIEF OF STAFF (P),CHIEF OF STAFF   ,2
CHIEF OF STAFF AND ADMIN ASST,CHIEF OF STAFF/ADMINISTRATIVE ASSISTANT  ,2
CHIEF OF STAFF AND APPROPRIATIONS,CHIEF OF STAFF/APPROPRIATIONS  ,2
CHIEF OF STAFF AND POLICY DIR,CHIEF OF STAFF/POLICY DIRECTOR  ,2
CHIEF OF STAFF AND PRESS SECRETARY,CHIEF OF STAFF/PRESS SECRETARY  ,2
CHIEF OF STAFF-IOWA,CHIEF OF STAFF-IOWA  ,2
